plant_code,plant_name,receiver_cc,receiver_description,process_code,process_label,display_order,active
7301,PL Plant Gresik,7103341041,KILN GSK SIE OP FM GRESIK,KILN,Kiln,50,TRUE
7301,PL Plant Gresik,7103341051,FINISH MILL GSK OP FM GRESIK,FINISH_MILL,Finish Mill,60,TRUE
7302,PL Plant Tuban I,7203121011,CRUSHER BT. KAPUR TUBAN1,CRUSHER_BK,Crusher BK,10,TRUE
7302,PL Plant Tuban I,7203121021,CRUSHER TNH LIAT TUBAN1,CRUSHER_TL,Crusher TL,20,TRUE
7302,PL Plant Tuban I,7203211031,RAW MILL TBN1 SEKSI RKC1,RAW_MEAL,Raw Meal,30,TRUE
7302,PL Plant Tuban I,7203211071,COAL MILL TUBAN1 - SEKSI RKC1,FINE_COAL,Fine Coal,40,TRUE
7302,PL Plant Tuban I,7203210071,NEW COAL MILL TUBAN 123,FINE_COAL_NEW,Fine Coal - New Coal Mill,45,TRUE
7302,PL Plant Tuban I,7203211041,KILN TUBAN1 - SEKSI RKC1,KILN,Kiln,50,TRUE
7302,PL Plant Tuban I,7203311051,FINISH MILL 1 T1 SEKSI FM TBN,FINISH_MILL,Finish Mill 1,61,TRUE
7302,PL Plant Tuban I,7203311052,FINISH MILL 2 T1 SEKSI FM TBN,FINISH_MILL,Finish Mill 2,62,TRUE
7302,PL Plant Tuban I,7203311059,FINISH MILL 9 SEKSI FM TUBAN,FINISH_MILL,Finish Mill 9,69,TRUE
7303,PL Plant Tuban II,7203121012,CRUSHER BT. KAPUR TUBAN2,CRUSHER_BK,Crusher BK,10,TRUE
7303,PL Plant Tuban II,7203121022,CRUSHER TNH LIAT TUBAN2,CRUSHER_TL,Crusher TL,20,TRUE
7303,PL Plant Tuban II,7203212032,RAW MILL TBN2 - SEKSI RKC2,RAW_MEAL,Raw Meal,30,TRUE
7303,PL Plant Tuban II,7203212072,COAL MILL TBN2 - SEKSI RKC2,FINE_COAL,Fine Coal,40,TRUE
7303,PL Plant Tuban II,7203212042,KILN TBN2 - SEKSI RKC2,KILN,Kiln,50,TRUE
7303,PL Plant Tuban II,7203311053,FINISH MILL 1 T2 SEKSI FM TUBAN,FINISH_MILL,Finish Mill 1,61,TRUE
7303,PL Plant Tuban II,7203311054,FINISH MILL 2 T2 SEKSI FM TUBAN,FINISH_MILL,Finish Mill 2,62,TRUE
7304,PL Plant Tuban III,7203121013,CRUSHER BT. KAPUR TUBAN3,CRUSHER_BK,Crusher BK,10,TRUE
7304,PL Plant Tuban III,7203121023,CRUSHER TNH LIAT TUBAN3,CRUSHER_TL,Crusher TL,20,TRUE
7304,PL Plant Tuban III,7203213033,RAW MILL TBN3 - SEKSI RKC3,RAW_MEAL,Raw Meal,30,TRUE
7304,PL Plant Tuban III,7203213073,COAL MILL TBN3 - SEKSI RKC3,FINE_COAL,Fine Coal,40,TRUE
7304,PL Plant Tuban III,7203213043,KILN TBN3 - SEKSI RKC3,KILN,Kiln,50,TRUE
7304,PL Plant Tuban III,7203313055,FINISH MILL 1 T3 SEKSI FM TBN34,FINISH_MILL,Finish Mill 1,61,TRUE
7304,PL Plant Tuban III,7203313056,FINISH MILL 2 T3 SEKSI FM TBN34,FINISH_MILL,Finish Mill 2,62,TRUE
7305,PL Plant Tuban IV,7203121014,CRUSHER BT. KAPUR TUBAN4,CRUSHER_BK,Crusher BK,10,TRUE
7305,PL Plant Tuban IV,7203121024,CRUSHER TNH LIAT TUBAN4,CRUSHER_TL,Crusher TL,20,TRUE
7305,PL Plant Tuban IV,7203511034,RAW MILL TBN4 SEKSI RKC4,RAW_MEAL,Raw Meal,30,TRUE
7305,PL Plant Tuban IV,7203511074,COAL MILL TUBAN4 - SEKSI RKC4,FINE_COAL,Fine Coal,40,TRUE
7305,PL Plant Tuban IV,7203511044,KILN TUBAN4 - SEKSI RKC4,KILN,Kiln,50,TRUE
7305,PL Plant Tuban IV,7203313057,FINISH MILL 1 T4 SEKSI FM TBN34,FINISH_MILL,Finish Mill 1,61,TRUE
7305,PL Plant Tuban IV,7203313058,FINISH MILL 2 T4 SEKSI FM TBN34,FINISH_MILL,Finish Mill 2,62,TRUE
7305,PL Plant Tuban IV,7203141081,SEKSI OPERASI WHRPG,WHRPG,WHRPG,70,TRUE
7308,PL Plant Cigading (SG),7503351051,FINISH MILL CIGADING SIE OP GP CIGADING,FINISH_MILL,Finish Mill,60,TRUE
7401,GP Gresik,7103341061,PACKER GSK CURAH S. OP FM GRESIK,PACKER_CURAH,Packer Curah,80,TRUE
7401,GP Gresik,7103341062,PACKER GSK BAG S. OP FM GRESIK,PACKER_BAG,Packer Bag,90,TRUE
7401,GP Gresik,7103341063,PACKER JUMBO BAG S. OP FM GRESIK,PACKER_JUMBO,Packer Jumbo Bag,95,TRUE
7403,CP Tuban,7203312061,PACKER T1 CRH SIE PACKER & PELB TBN,PACKER_CURAH,Packer Curah T1,80,TRUE
7403,CP Tuban,7203312062,PACKER T2 CRH SIE PACKER & PELB TBN,PACKER_CURAH,Packer Curah T2,80,TRUE
7403,CP Tuban,7203312063,PACKER T3 CRH SIE PACKER & PELB TBN,PACKER_CURAH,Packer Curah T3,80,TRUE
7403,CP Tuban,7203312067,PACKER T4 CRH SIE PACKER & PELB TBN,PACKER_CURAH,Packer Curah T4,80,TRUE
7403,CP Tuban,7203312064,PACKER T1 BAG S. PACKER & PELB TBN,PACKER_BAG,Packer Bag T1,90,TRUE
7403,CP Tuban,7203312065,PACKER T2 BAG S. PACKER & PELB TBN,PACKER_BAG,Packer Bag T2,90,TRUE
7403,CP Tuban,7203312066,PACKER T3 BAG S. PACKER & PELB TBN,PACKER_BAG,Packer Bag T3,90,TRUE
7403,CP Tuban,7203312068,PACKER T4 BAG S. PACKER & PELB TBN,PACKER_BAG,Packer Bag T4,90,TRUE
7405,PP Ciwandan,7404213001,PACKING PLAN CIWANDAN CURAH,PACKER_CURAH,Packer Curah,80,TRUE
7405,PP Ciwandan,7404213002,PACKING PLAN CIWANDAN BAG,PACKER_BAG,Packer Bag,90,TRUE
7406,PP Celukan Bawang,7404213003,PP CELUKAN BAWANG CURAH,PACKER_CURAH,Packer Curah,80,TRUE
7406,PP Celukan Bawang,7404213004,PP CELUKAN BAWANG BAG,PACKER_BAG,Packer Bag,90,TRUE
7408,PP Banyuwangi,7404213005,PACKING PLAN BANYUWANGI CURAH,PACKER_CURAH,Packer Curah,80,TRUE
7408,PP Banyuwangi,7404213006,PACKING PLAN BANYUWANGI BAG,PACKER_BAG,Packer Bag,90,TRUE
7412,PP Pontianak,7404213009,PP PONTIANAK CURAH (ST),PACKER_CURAH,Packer Curah,80,TRUE
7412,PP Pontianak,7404213010,PACKING PLAN PONTIANAK BAG (ST),PACKER_BAG,Packer Bag,90,TRUE
7415,GP Cigading (SG),7503351061,PACKER CIGADING SIE OP GP CIGADING,PACKER,Packer,85,TRUE
7415,GP Cigading (SG),7503351062,PACKER BAG CIGADING SIE OP GP CIGADING,PACKER_BAG,Packer Bag,90,TRUE
7608,DC Pelabuhan Gresik,7304213003,GP PELB. GRESIK,DISTRIBUTION_GP,Distribution / GP,100,TRUE
7609,PP Tanjung Priok,7304213012,GP TANJUNG PRIOK (SP),DISTRIBUTION_GP,Distribution / GP,100,TRUE
7611,DC Ciwandan,7304213010,GP CIWANDAN SP,DISTRIBUTION_GP,Distribution / GP,100,TRUE
7642,VP Pelsus Tuban,7304213043,GP Jombor SID,DISTRIBUTION_GP,Distribution / GP,100,TRUE
