receiver_cc,peer_group,preferred_reference_cc,fallback_reference_1,fallback_reference_2,confidence,review_status,notes
7103341051,FINISH_MILL_STANDALONE,7503351051,7203311051,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121011,CRUSHER_LIMESTONE_TUBAN,7203121012,7203121013,7203121014,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121021,CRUSHER_CLAY_TUBAN,7203121022,7203121023,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203211031,RAW_MILL_TUBAN,7203212032,7203213033,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203211071,COAL_MILL_TUBAN,7203212072,7203213073,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203210071,COAL_MILL_SPECIAL_TUBAN,7203211071,7203212072,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203211041,KILN_TUBAN,7203212042,7203213043,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203311051,FINISH_MILL_TUBAN_I,7203311052,7203311059,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203311052,FINISH_MILL_TUBAN_I,7203311051,7203311059,7203311053,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203311059,FINISH_MILL_TUBAN_I,7203311051,7203311053,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121012,CRUSHER_LIMESTONE_TUBAN,7203121013,7203121014,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121022,CRUSHER_CLAY_TUBAN,7203121023,7203121024,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203212032,RAW_MILL_TUBAN,7203213033,7203211031,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203212072,COAL_MILL_TUBAN,7203211071,7203213073,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203212042,KILN_TUBAN,7203213043,7203511044,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203311053,FINISH_MILL_TUBAN_II,7203311054,7203311051,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203311054,FINISH_MILL_TUBAN_II,7203311053,7203311051,7203311059,Validated,VALIDATED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121013,CRUSHER_LIMESTONE_TUBAN,7203121012,7203121014,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121023,CRUSHER_CLAY_TUBAN,7203121024,7203121022,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203213033,RAW_MILL_TUBAN,7203212032,7203511034,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203213073,COAL_MILL_TUBAN,7203212072,7203211071,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203213043,KILN_TUBAN,7203511044,7203212042,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203313055,FINISH_MILL_TUBAN_III,7203313056,7203313057,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203313056,FINISH_MILL_TUBAN_III,7203313055,7203313058,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121014,CRUSHER_LIMESTONE_TUBAN,7203121013,7203121012,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203121024,CRUSHER_CLAY_TUBAN,7203121023,7203121022,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203511034,RAW_MILL_TUBAN,7203213033,7203212032,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203511074,COAL_MILL_TUBAN,7203213073,7203212072,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203511044,KILN_TUBAN,7203213043,7203212042,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203313057,FINISH_MILL_TUBAN_IV,7203313058,7203313055,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203313058,FINISH_MILL_TUBAN_IV,7203313057,7203313055,,High,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203141081,WHRPG_UNIQUE,,,,Manual,MANUAL_REQUIRED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7503351051,FINISH_MILL_STANDALONE,7103341051,7203311051,7203311053,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7103341061,PACKER_CURAH_STANDALONE,7103341062,7503351061,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7103341062,PACKER_BAG_STANDALONE,7103341061,7503351061,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203312061,PACKER_CURAH_TUBAN,7203312062,7203312063,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203312062,PACKER_CURAH_TUBAN,7203312061,7203312063,7203312067,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203312063,PACKER_CURAH_TUBAN,7203312067,7203312061,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7203312067,PACKER_CURAH_TUBAN,7203312063,7203312061,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7404213001,PACKING_CURAH_EXTERNAL,7404213003,7404213005,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7404213003,PACKING_CELUKAN_BAWANG,7404213004,7404213001,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7404213004,PACKING_CELUKAN_BAWANG,7404213003,7404213001,7404213005,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7404213005,PACKING_CURAH_EXTERNAL,7404213003,7404213001,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
7404213009,PACKING_CURAH_EXTERNAL,7404213005,7404213003,,Medium,PROPOSED,Copy preferred active reference by Cycle + Segment name. Fallbacks only when preferred cannot be used. No automatic self-history.
